Epochs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2.6440035696836715,2.619382747535497,2.6213929674385303,2.6137836280646183,2.6108266885637113,2.615654402091855,2.6160548649283077,2.618121620605552,2.635706231983588,2.6301647299067477,2.6221980245169827,2.617800250480334,2.624768765871642,2.6245957697675526,2.6248526739717293
2,2.5557755470064607,2.53990679013056,2.5405638541773277,2.5371930293429896,2.528533029366771,2.5343804515776087,2.535548474787405,2.5361559366267885,2.5505692988482487,2.5418738827493206,2.5376754208051153,2.5252587987676094,2.530875458951856,2.526377384779883,2.522621923400433
3,2.534602901604939,2.5110721436137493,2.509556393321839,2.505993137938997,2.50222090684651,2.504470344449653,2.510471963995919,2.5115297561134797,2.5193790760061847,2.5104500175359936,2.5048499467811514,2.496569366503183,2.4954656980858476,2.4963135784441004,2.490826286253382
4,2.5245034498190213,2.485532128311463,2.4881936792467463,2.483574212459612,2.478666004468953,2.4808144491226947,2.4777140766145815,2.478338804661902,2.4870863431183343,2.4825200878205846,2.4745476778594377,2.466871960917758,2.470547954528058,2.4644530770557176,2.469054635558397
5,2.5137038890059458,2.465989184944139,2.460813672872003,2.4533058307209954,2.4419161706082098,2.44852135220512,2.4469837807020394,2.4464270729836217,2.4556831541271653,2.44886137450886,2.4427729883408213,2.431618733784891,2.4380643894633307,2.4264603481918083,2.432661501407963
6,2.509746277179135,2.4401051190381495,2.4275012408263232,2.417438710781969,2.404933317585247,2.4066598259034704,2.412126996415056,2.4093855401857303,2.420759191885043,2.4073381250859422,2.4056669488124003,2.3962482140313783,2.400825432480359,2.396501248000098,2.3863119458778366
7,2.4976389478887135,2.408774722469309,2.387881339852648,2.3681827897390955,2.354558458152957,2.3565024489262063,2.359853240814491,2.355633614493198,2.369381299862557,2.3626743127925613,2.3563886573984902,2.345865342535858,2.3551406782181536,2.3379791343146987,2.3462911981051087
8,2.492027477189192,2.3728463814775367,2.3346263499114777,2.303084535561969,2.293367071762881,2.2928171314176966,2.3047044698300656,2.294342300149261,2.3056827807170377,2.300043910113654,2.298689248710961,2.2833065120749936,2.2918300040823514,2.2818067542842178,2.285977482540813
9,2.4881431671914984,2.3391350288425854,2.2656684955891735,2.2312867657542803,2.2159135709990925,2.2157273331626515,2.2394013008952833,2.2271074620752387,2.2419599597234385,2.2302326008642583,2.221966169498585,2.212474976632213,2.228288354091957,2.21339034969038,2.2205870890736326
10,2.483141148676638,2.2986573981891345,2.2002420283592277,2.1469519288928436,2.1318243999594904,2.13700593104128,2.156555115388601,2.1459483584419625,2.1581040475919733,2.1540723103829236,2.147275438001826,2.1227447833269273,2.153199032251952,2.1353660528777074,2.140271995718447
11,2.4766935443371123,2.2552264401170072,2.1217785331627805,2.0584945832751873,2.039774069724483,2.048272982972567,2.0725141173629518,2.056324532774628,2.075198388086193,2.0713445972782107,2.0706631022651916,2.040134377617854,2.0727755873320532,2.052127236225566,2.0685109883143236
12,2.4707895526328234,2.213237112337123,2.0432324200100864,1.9637545221911792,1.9460547599280822,1.952857627243292,1.9786873196622545,1.9643321219689207,1.9849798150356373,1.983263959929312,1.9798832763377725,1.9584969963131456,1.9872961899491608,1.9711637992025073,1.9883092642680118
13,2.4642052925103104,2.1725179782113524,1.967597563372842,1.8737938644341126,1.849991912458053,1.859642155834886,1.8957292588535029,1.8916091005658844,1.906416462328961,1.9039135403599616,1.898135073704653,1.8751357275179927,1.9063439935934348,1.893859723878037,1.9169024867155002
14,2.4563183942937616,2.127071489184715,1.88885922180685,1.7832603927058677,1.7662952944702968,1.7765712640324578,1.8257685228354839,1.8127146262288745,1.8289053306665846,1.8300469669860198,1.8278721554321307,1.8072219571429875,1.8350847035548725,1.8235772867671778,1.8422037299326803
15,2.4457954835405804,2.0898631706915265,1.8165768609951476,1.7059429547136062,1.6914910158587522,1.6994640182276242,1.747459843321366,1.7448084384365812,1.7580130736392525,1.7619345391941295,1.7621586140387697,1.7444968611415368,1.7699779900566477,1.7575683333183247,1.7850064787793312
16,2.4415430776514095,2.046922796410941,1.7443025916186652,1.6374135771505858,1.6217058334431125,1.6311981775721565,1.68100818063392,1.6843235927852775,1.6991810297278647,1.6970755587696191,1.6950142248949285,1.6861271799587814,1.7085982603323264,1.7044412190796898,1.7165286799286064
17,2.434180716682336,2.005811802459328,1.6814595248157582,1.5716692877137672,1.5581371236427826,1.5723704842270398,1.6228318700457551,1.622431381413194,1.6450410063755991,1.643959068861164,1.6482291770980224,1.632957096057762,1.6548272891122786,1.6533293515606655,1.6685919938389948
18,2.424805547687191,1.9673373477706493,1.6308207782146802,1.5212866120766075,1.5065103471427193,1.5222100175795008,1.5744051927614944,1.5749284716903187,1.5901803073403253,1.596245213191459,1.6000923976510237,1.584032993448938,1.6084243271780796,1.6036043303911802,1.6209944517206314
19,2.4178522732810315,1.9318724012982866,1.576957321613678,1.4800916014664889,1.4658127808772208,1.4789552629971114,1.5295916882726266,1.530885298916551,1.5484242733755376,1.557492880128865,1.553012785943407,1.5490419233281254,1.5666579243394194,1.5616646073555034,1.584259808360893
20,2.412278476308604,1.8916181692877319,1.5378741384390087,1.4388724228685135,1.4238419833019842,1.43884063353304,1.4924352215056316,1.4954492239352783,1.5106647385925542,1.5181794903596615,1.5253367722215403,1.5138816045782755,1.5281593721421038,1.5255989735243751,1.5430343807041007
21,2.411528568326978,1.8549531557086605,1.4951843285169757,1.405118215279501,1.3921958461544492,1.411345151604199,1.4581943294284585,1.4608245187769822,1.479479309459943,1.4797810438924428,1.4913673896679533,1.4842369938257514,1.4996793295907191,1.491505587035841,1.5100883770566793
22,2.399195464564785,1.8261507929782832,1.4615830270691275,1.3760537010264604,1.3674419079025883,1.383801227710286,1.4250738911374041,1.4362757759667486,1.449474866609913,1.4499043868352992,1.4575737305822414,1.4527224598436006,1.4707519594567722,1.464598070076906,1.4813275077218935
