Games before prediction,Accuracy,Euclidean Error
0,0.5150199379707576,1.1013888732463903
1,0.8319444444444444,0.730700775347802
2,0.9014754098360656,0.6616492249287007
3,0.9133317261330762,0.6522654742036418
4,0.9169647292598112,0.6496467658216853
5,0.9125768442622951,0.6538508815354496
6,0.8981755684822845,0.6640425129421137
7,0.905327868852459,0.6593803098333981
8,0.8968061051441493,0.6667240458765576
9,0.8919203747072599,0.6700183954288665
10,0.890528233151184,0.6690677601516438
11,0.887547288776797,0.6708012045009213
12,0.8860983606557377,0.6707677912308938
13,0.8857923497267759,0.6723212651703896
14,0.8839985744832501,0.6750504873999845
