Games before prediction,Accuracy,Euclidean Error
0,0.5579751883030571,1.07141717254
1,0.8850409836065574,0.704138794085
2,0.9202341920374707,0.664280626827
3,0.9252892960462874,0.659963493895
4,0.9201192250372578,0.662599874043
5,0.9178022540983607,0.665725124605
6,0.9137757800105764,0.669382430167
7,0.909672131147541,0.670947323457
8,0.912775579423403,0.670949830187
9,0.9103337236533958,0.671477942827
10,0.908682452944748,0.672021210326
11,0.910655737704918,0.671221928692
12,0.9089180327868852,0.672648286859
13,0.9050546448087432,0.673984261127
14,0.9085887384176764,0.674678640064
